RecordNumber,SourceName,TaskCategory,EventCode,EventType,Type
35614,RFCOMM,"The operation completed successfully.",1,4,Information
35613,BTHUSB,"The operation completed successfully.",37,4,Information
35612,BTHUSB,"The operation completed successfully.",37,4,Information
35611,RFCOMM,"The operation completed successfully.",1,4,Information
35610,BTHUSB,"The operation completed successfully.",37,4,Information
35609,BTHUSB,"The operation completed successfully.",37,4,Information
35608,RFCOMM,"The operation completed successfully.",1,4,Information
35607,BTHUSB,"The operation completed successfully.",37,4,Information
35606,BTHUSB,"The operation completed successfully.",37,4,Information
35605,RFCOMM,"The operation completed successfully.",1,4,Information
35604,BTHUSB,"The operation completed successfully.",37,4,Information
35603,BTHUSB,"The operation completed successfully.",37,4,Information
35602,RFCOMM,"The operation completed successfully.",1,4,Information
35601,BTHUSB,"The operation completed successfully.",37,4,Information
35600,BTHUSB,"The operation completed successfully.",37,4,Information
35599,RFCOMM,"The operation completed successfully.",1,4,Information
35598,BTHUSB,"The operation completed successfully.",37,4,Information
35597,BTHUSB,"The operation completed successfully.",37,4,Information
35596,RFCOMM,"The operation completed successfully.",1,4,Information
35595,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
35594,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
35593,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
35592,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
35591,"Microsoft-Windows-Winlogon","A tape access reached a filemark.",7001,4,Information
35590,"Microsoft-Windows-Power-Troubleshooter","The operation completed successfully.",1,4,Information
35589,BTHUSB,"The operation completed successfully.",18,4,Information
35588,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
35587,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
35586,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because another process has locked a portion of the file.",27,4,Information
35585,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because it is being used by another process.",25,4,Information
35584,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",32,4,Information
35583,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",18,4,Information
35582,"Microsoft-Windows-Kernel-Boot","The device is not ready.",30,4,Information
35581,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
35580,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
35579,"Microsoft-Windows-Kernel-Power","The semaphore is set and cannot be closed.",107,4,Information
35578,"Microsoft-Windows-Kernel-Power","The specified network name is no longer available.",42,4,Information
35577,"Microsoft-Windows-Winlogon","The beginning of the tape or a partition was encountered.",7002,4,Information
35576,BTHUSB,"The operation completed successfully.",37,4,Information
35575,RFCOMM,"The operation completed successfully.",1,4,Information
35574,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
35573,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
35572,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",19,4,Information
35571,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",19,4,Information
35570,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",43,4,Information
35569,"Microsoft-Windows-Kernel-General","The operation completed successfully.",16,4,Information
35568,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",43,4,Information
35567,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",44,4,Information
35566,RFCOMM,"The operation completed successfully.",1,4,Information
35565,RFCOMM,"The operation completed successfully.",1,4,Information
35564,RFCOMM,"The operation completed successfully.",1,4,Information
35563,RFCOMM,"The operation completed successfully.",1,4,Information
35562,RFCOMM,"The operation completed successfully.",1,4,Information
35561,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",44,4,Information
35560,RFCOMM,"The operation completed successfully.",1,4,Information
35559,RFCOMM,"The operation completed successfully.",1,4,Information
35558,RFCOMM,"The operation completed successfully.",1,4,Information
35557,RFCOMM,"The operation completed successfully.",1,4,Information
35556,RFCOMM,"The operation completed successfully.",1,4,Information
35555,RFCOMM,"The operation completed successfully.",1,4,Information
35554,RFCOMM,"The operation completed successfully.",1,4,Information
35553,RFCOMM,"The operation completed successfully.",1,4,Information
35552,RFCOMM,"The operation completed successfully.",1,4,Information
35551,RFCOMM,"The operation completed successfully.",1,4,Information
35550,RFCOMM,"The operation completed successfully.",1,4,Information
35549,RFCOMM,"The operation completed successfully.",1,4,Information
35548,RFCOMM,"The operation completed successfully.",1,4,Information
35547,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
35546,RFCOMM,"The operation completed successfully.",1,4,Information
35545,RFCOMM,"The operation completed successfully.",1,4,Information
35544,RFCOMM,"The operation completed successfully.",1,4,Information
35543,RFCOMM,"The operation completed successfully.",1,4,Information
35542,RFCOMM,"The operation completed successfully.",1,4,Information
35541,RFCOMM,"The operation completed successfully.",1,4,Information
35540,RFCOMM,"The operation completed successfully.",1,4,Information
35539,RFCOMM,"The operation completed successfully.",1,4,Information
35538,RFCOMM,"The operation completed successfully.",1,4,Information
35537,RFCOMM,"The operation completed successfully.",1,4,Information
35536,RFCOMM,"The operation completed successfully.",1,4,Information
35535,RFCOMM,"The operation completed successfully.",1,4,Information
35534,RFCOMM,"The operation completed successfully.",1,4,Information
35533,BTHUSB,"The operation completed successfully.",37,4,Information
35532,RFCOMM,"The operation completed successfully.",1,4,Information
35531,BTHUSB,"The operation completed successfully.",37,4,Information
35530,BTHUSB,"The operation completed successfully.",37,4,Information
35529,RFCOMM,"The operation completed successfully.",1,4,Information
35528,BTHUSB,"The operation completed successfully.",37,4,Information
35527,BTHUSB,"The operation completed successfully.",37,4,Information
35526,RFCOMM,"The operation completed successfully.",1,4,Information
35525,BTHUSB,"The operation completed successfully.",37,4,Information
35524,BTHUSB,"The operation completed successfully.",37,4,Information
35523,RFCOMM,"The operation completed successfully.",1,4,Information
35522,BTHUSB,"The operation completed successfully.",37,4,Information
35521,BTHUSB,"The operation completed successfully.",37,4,Information
35520,RFCOMM,"The operation completed successfully.",1,4,Information
35519,BTHUSB,"The operation completed successfully.",37,4,Information
35518,BTHUSB,"The operation completed successfully.",37,4,Information
35517,RFCOMM,"The operation completed successfully.",1,4,Information
35516,BTHUSB,"The operation completed successfully.",37,4,Information
35515,BTHUSB,"The operation completed successfully.",37,4,Information
35514,RFCOMM,"The operation completed successfully.",1,4,Information
35513,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
35512,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
35511,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
35510,"Microsoft-Windows-Power-Troubleshooter","The operation completed successfully.",1,4,Information
35509,"Microsoft-Windows-Winlogon","A tape access reached a filemark.",7001,4,Information
35508,BTHUSB,"The operation completed successfully.",18,4,Information
35507,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because another process has locked a portion of the file.",27,4,Information
35506,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because it is being used by another process.",25,4,Information
35505,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",32,4,Information
35504,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",18,4,Information
35503,"Microsoft-Windows-Kernel-Boot","The device is not ready.",30,4,Information
35502,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
35501,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
35500,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
35499,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
35497,EventLog,"The operation completed successfully.",6013,4,Information
35498,"Microsoft-Windows-Kernel-Power","The semaphore is set and cannot be closed.",107,4,Information
35496,"Microsoft-Windows-Kernel-Power","The specified network name is no longer available.",42,4,Information
35495,"Microsoft-Windows-Winlogon","The beginning of the tape or a partition was encountered.",7002,4,Information
35494,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10010,2,Error
35493,BTHUSB,"The operation completed successfully.",37,4,Information
35492,RFCOMM,"The operation completed successfully.",1,4,Information
35491,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
35490,RFCOMM,"The operation completed successfully.",1,4,Information
35489,RFCOMM,"The operation completed successfully.",1,4,Information
35488,RFCOMM,"The operation completed successfully.",1,4,Information
35487,RFCOMM,"The operation completed successfully.",1,4,Information
35486,RFCOMM,"The operation completed successfully.",1,4,Information
35485,RFCOMM,"The operation completed successfully.",1,4,Information
35484,RFCOMM,"The operation completed successfully.",1,4,Information
35483,RFCOMM,"The operation completed successfully.",1,4,Information
35482,RFCOMM,"The operation completed successfully.",1,4,Information
35481,RFCOMM,"The operation completed successfully.",1,4,Information
35480,RFCOMM,"The operation completed successfully.",1,4,Information
35479,RFCOMM,"The operation completed successfully.",1,4,Information
35478,RFCOMM,"The operation completed successfully.",1,4,Information
35477,RFCOMM,"The operation completed successfully.",1,4,Information
35476,RFCOMM,"The operation completed successfully.",1,4,Information
35475,RFCOMM,"The operation completed successfully.",1,4,Information
35474,RFCOMM,"The operation completed successfully.",1,4,Information
35473,RFCOMM,"The operation completed successfully.",1,4,Information
35472,RFCOMM,"The operation completed successfully.",1,4,Information
35471,BTHUSB,"The operation completed successfully.",37,4,Information
35470,RFCOMM,"The operation completed successfully.",1,4,Information
35469,BTHUSB,"The operation completed successfully.",37,4,Information
35468,BTHUSB,"The operation completed successfully.",37,4,Information
35467,RFCOMM,"The operation completed successfully.",1,4,Information
35466,BTHUSB,"The operation completed successfully.",37,4,Information
35465,BTHUSB,"The operation completed successfully.",37,4,Information
35464,RFCOMM,"The operation completed successfully.",1,4,Information
35463,BTHUSB,"The operation completed successfully.",37,4,Information
35462,BTHUSB,"The operation completed successfully.",37,4,Information
35461,RFCOMM,"The operation completed successfully.",1,4,Information
35460,BTHUSB,"The operation completed successfully.",37,4,Information
35459,BTHUSB,"The operation completed successfully.",37,4,Information
35458,RFCOMM,"The operation completed successfully.",1,4,Information
35457,BTHUSB,"The operation completed successfully.",37,4,Information
35456,BTHUSB,"The operation completed successfully.",37,4,Information
35455,RFCOMM,"The operation completed successfully.",1,4,Information
35454,BTHUSB,"The operation completed successfully.",37,4,Information
35453,BTHUSB,"The operation completed successfully.",37,4,Information
35452,RFCOMM,"The operation completed successfully.",1,4,Information
35451,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
35450,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
35449,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
35448,"Microsoft-Windows-Winlogon","A tape access reached a filemark.",7001,4,Information
35447,"Microsoft-Windows-Power-Troubleshooter","The operation completed successfully.",1,4,Information
35446,BTHUSB,"The operation completed successfully.",18,4,Information
35445,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
35444,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because another process has locked a portion of the file.",27,4,Information
35443,"Microsoft-Windows-Kernel-Boot","The process cannot access the file because it is being used by another process.",25,4,Information
35442,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",32,4,Information
35441,"Microsoft-Windows-Kernel-Boot","The operation completed successfully.",18,4,Information
35440,"Microsoft-Windows-Kernel-Boot","The device is not ready.",30,4,Information
35439,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
35438,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
35437,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
35436,"Microsoft-Windows-Kernel-Power","The semaphore is set and cannot be closed.",107,4,Information
35435,"Microsoft-Windows-Kernel-Power","The specified network name is no longer available.",42,4,Information
35434,"Microsoft-Windows-Winlogon","The beginning of the tape or a partition was encountered.",7002,4,Information
35433,BTHUSB,"The operation completed successfully.",37,4,Information
35432,RFCOMM,"The operation completed successfully.",1,4,Information
35431,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
35430,RFCOMM,"The operation completed successfully.",1,4,Information
35429,RFCOMM,"The operation completed successfully.",1,4,Information
35428,RFCOMM,"The operation completed successfully.",1,4,Information
35427,RFCOMM,"The operation completed successfully.",1,4,Information
35426,RFCOMM,"The operation completed successfully.",1,4,Information
35425,RFCOMM,"The operation completed successfully.",1,4,Information
35424,RFCOMM,"The operation completed successfully.",1,4,Information
35423,RFCOMM,"The operation completed successfully.",1,4,Information
35422,RFCOMM,"The operation completed successfully.",1,4,Information
35421,RFCOMM,"The operation completed successfully.",1,4,Information
35420,RFCOMM,"The operation completed successfully.",1,4,Information
35419,RFCOMM,"The operation completed successfully.",1,4,Information
35418,RFCOMM,"The operation completed successfully.",1,4,Information
35417,RFCOMM,"The operation completed successfully.",1,4,Information
35416,RFCOMM,"The operation completed successfully.",1,4,Information
35415,RFCOMM,"The operation completed successfully.",1,4,Information
35414,RFCOMM,"The operation completed successfully.",1,4,Information
35413,RFCOMM,"The operation completed successfully.",1,4,Information
35412,RFCOMM,"The operation completed successfully.",1,4,Information
35411,RFCOMM,"The operation completed successfully.",1,4,Information
35410,RFCOMM,"The operation completed successfully.",1,4,Information
35409,RFCOMM,"The operation completed successfully.",1,4,Information
35408,RFCOMM,"The operation completed successfully.",1,4,Information
35407,RFCOMM,"The operation completed successfully.",1,4,Information
35406,RFCOMM,"The operation completed successfully.",1,4,Information
35405,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
35404,RFCOMM,"The operation completed successfully.",1,4,Information
35403,RFCOMM,"The operation completed successfully.",1,4,Information
35402,RFCOMM,"The operation completed successfully.",1,4,Information
35401,RFCOMM,"The operation completed successfully.",1,4,Information
35400,RFCOMM,"The operation completed successfully.",1,4,Information
35399,RFCOMM,"The operation completed successfully.",1,4,Information
35398,RFCOMM,"The operation completed successfully.",1,4,Information
35397,RFCOMM,"The operation completed successfully.",1,4,Information
35396,RFCOMM,"The operation completed successfully.",1,4,Information
35395,RFCOMM,"The operation completed successfully.",1,4,Information
35394,RFCOMM,"The operation completed successfully.",1,4,Information
35393,RFCOMM,"The operation completed successfully.",1,4,Information
35392,RFCOMM,"The operation completed successfully.",1,4,Information
35391,RFCOMM,"The operation completed successfully.",1,4,Information
35390,RFCOMM,"The operation completed successfully.",1,4,Information
35389,RFCOMM,"The operation completed successfully.",1,4,Information
35388,RFCOMM,"The operation completed successfully.",1,4,Information
35387,RFCOMM,"The operation completed successfully.",1,4,Information
35386,RFCOMM,"The operation completed successfully.",1,4,Information
35385,RFCOMM,"The operation completed successfully.",1,4,Information
35384,"Microsoft-Windows-UserPnp","A registry key for event logging could not be created for this session.",20001,4,Information
35383,"Microsoft-Windows-WPD-ClassInstaller","Driver Post-Install Configuration",24579,4,Information
35382,"Microsoft-Windows-WPD-ClassInstaller","Driver Post-Install Configuration",24577,4,Information
35381,RFCOMM,"The operation completed successfully.",1,4,Information
35380,RFCOMM,"The operation completed successfully.",1,4,Information
35379,RFCOMM,"The operation completed successfully.",1,4,Information
35378,RFCOMM,"The operation completed successfully.",1,4,Information
35377,RFCOMM,"The operation completed successfully.",1,4,Information
35376,RFCOMM,"The operation completed successfully.",1,4,Information
35375,RFCOMM,"The operation completed successfully.",1,4,Information
35374,RFCOMM,"The operation completed successfully.",1,4,Information
35373,RFCOMM,"The operation completed successfully.",1,4,Information
35372,RFCOMM,"The operation completed successfully.",1,4,Information
35371,RFCOMM,"The operation completed successfully.",1,4,Information
35370,"Microsoft-Windows-UserPnp","A registry key for event logging could not be created for this session.",20003,4,Information
35366,"Microsoft-Windows-WPD-ClassInstaller","Driver Installation",24576,4,Information
35369,"Microsoft-Windows-DriverFrameworks-UserMode","Installation or update of device drivers.",10100,4,Information
35368,"Microsoft-Windows-DriverFrameworks-UserMode","Installation or update of device drivers.",10002,4,Information
35367,"Microsoft-Windows-DriverFrameworks-UserMode","Installation or update of device drivers.",10000,4,Information
35365,RFCOMM,"The operation completed successfully.",1,4,Information
35364,RFCOMM,"The operation completed successfully.",1,4,Information
35363,RFCOMM,"The operation completed successfully.",1,4,Information
35362,RFCOMM,"The operation completed successfully.",1,4,Information
35361,RFCOMM,"The operation completed successfully.",1,4,Information
35360,RFCOMM,"The operation completed successfully.",1,4,Information
35359,RFCOMM,"The operation completed successfully.",1,4,Information
35358,RFCOMM,"The operation completed successfully.",1,4,Information
35357,RFCOMM,"The operation completed successfully.",1,4,Information
35356,RFCOMM,"The operation completed successfully.",1,4,Information
35355,RFCOMM,"The operation completed successfully.",1,4,Information
35354,RFCOMM,"The operation completed successfully.",1,4,Information
35353,RFCOMM,"The operation completed successfully.",1,4,Information
35352,RFCOMM,"The operation completed successfully.",1,4,Information
35351,RFCOMM,"The operation completed successfully.",1,4,Information
35350,RFCOMM,"The operation completed successfully.",1,4,Information
35349,RFCOMM,"The operation completed successfully.",1,4,Information
35348,RFCOMM,"The operation completed successfully.",1,4,Information
35347,RFCOMM,"The operation completed successfully.",1,4,Information
35346,RFCOMM,"The operation completed successfully.",1,4,Information
35345,RFCOMM,"The operation completed successfully.",1,4,Information
35344,RFCOMM,"The operation completed successfully.",1,4,Information
35343,RFCOMM,"The operation completed successfully.",1,4,Information
35342,BTHUSB,"The operation completed successfully.",37,4,Information
35341,RFCOMM,"The operation completed successfully.",1,4,Information
35340,BTHUSB,"The operation completed successfully.",37,4,Information
35339,BTHUSB,"The operation completed successfully.",37,4,Information
35338,RFCOMM,"The operation completed successfully.",1,4,Information
35337,"Microsoft-Windows-Power-Troubleshooter","The operation completed successfully.",1,4,Information
35336,BTHUSB,"The operation completed successfully.",37,4,Information
35335,BTHUSB,"The operation completed successfully.",37,4,Information
35334,RFCOMM,"The operation completed successfully.",1,4,Information
35333,BTHUSB,"The operation completed successfully.",37,4,Information
35332,BTHUSB,"The operation completed successfully.",37,4,Information
35331,RFCOMM,"The operation completed successfully.",1,4,Information
35330,BTHUSB,"The operation completed successfully.",37,4,Information
35329,BTHUSB,"The operation completed successfully.",37,4,Information
35328,RFCOMM,"The operation completed successfully.",1,4,Information
35327,BTHUSB,"The operation completed successfully.",18,4,Information
35326,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
35325,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
35324,"Microsoft-Windows-Kernel-Power","The process cannot access the file because another process has locked a portion of the file.",131,4,Information
35323,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
35322,BTHUSB,"The operation completed successfully.",37,4,Information
35321,BTHUSB,"The operation completed successfully.",37,4,Information
35320,RFCOMM,"The operation completed successfully.",1,4,Information
35319,BTHUSB,"The operation completed successfully.",37,4,Information
35318,BTHUSB,"The operation completed successfully.",37,4,Information
35317,RFCOMM,"The operation completed successfully.",1,4,Information
35316,BTHUSB,"The operation completed successfully.",37,4,Information
35315,BTHUSB,"The operation completed successfully.",37,4,Information
35314,RFCOMM,"The operation completed successfully.",1,4,Information
35313,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
35312,"Microsoft-Windows-Kernel-Power","The semaphore is set and cannot be closed.",107,4,Information
35311,BTHUSB,"The operation completed successfully.",37,4,Information
35310,BTHUSB,"The operation completed successfully.",37,4,Information
35309,RFCOMM,"The operation completed successfully.",1,4,Information
35308,"Microsoft-Windows-Kernel-Power","The specified network name is no longer available.",42,4,Information
35307,BTHUSB,"The operation completed successfully.",37,4,Information
35306,BTHUSB,"The operation completed successfully.",37,4,Information
35305,RFCOMM,"The operation completed successfully.",1,4,Information
35304,BTHUSB,"The operation completed successfully.",37,4,Information
35303,BTHUSB,"The operation completed successfully.",37,4,Information
35302,RFCOMM,"The operation completed successfully.",1,4,Information
35301,BTHUSB,"The operation completed successfully.",37,4,Information
35300,BTHUSB,"The operation completed successfully.",37,4,Information
35299,RFCOMM,"The operation completed successfully.",1,4,Information
35298,"Microsoft-Windows-Power-Troubleshooter","The operation completed successfully.",1,4,Information
35297,BTHUSB,"The operation completed successfully.",18,4,Information
35296,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
35295,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
35294,"Microsoft-Windows-UserModePowerService","The environment is incorrect.",12,4,Information
35293,"Microsoft-Windows-Kernel-Power","The process cannot access the file because another process has locked a portion of the file.",131,4,Information
35292,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
35291,"Microsoft-Windows-Kernel-Power","The semaphore is set and cannot be closed.",107,4,Information
35290,"Microsoft-Windows-Kernel-Power","The specified network name is no longer available.",42,4,Information
35289,BTHUSB,"The operation completed successfully.",37,4,Information
35288,"Microsoft-Windows-DistributedCOM","The operation completed successfully.",10016,2,Error
35287,"Microsoft-Windows-Kernel-General","The operation completed successfully.",16,4,Information
35286,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",19,4,Information
35285,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",43,4,Information
35284,"Microsoft-Windows-WindowsUpdateClient","Windows Update Agent",44,4,Information
35283,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
35279,"Microsoft-Windows-Time-Service","The operation completed successfully.",37,4,Information
35282,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
35281,"Microsoft-Windows-Time-Service","The operation completed successfully.",35,4,Information
35280,"Microsoft-Windows-Kernel-General",Shell,1,4,Information
35278,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
35277,"Microsoft-Windows-Time-Service","The operation completed successfully.",134,3,Warning
35276,"Microsoft-Windows-Time-Service","The operation completed successfully.",134,3,Warning
35275,"Microsoft-Windows-DNS Client Events","Name resolution for the name %1 timed out after none of the configured DNS servers responded.",1014,3,Warning
35274,RFCOMM,"The operation completed successfully.",1,4,Information
35273,RFCOMM,"The operation completed successfully.",1,4,Information
35272,RFCOMM,"The operation completed successfully.",1,4,Information
35271,RFCOMM,"The operation completed successfully.",1,4,Information
35270,RFCOMM,"The operation completed successfully.",1,4,Information
35269,RFCOMM,"The operation completed successfully.",1,4,Information
35268,RFCOMM,"The operation completed successfully.",1,4,Information
35267,RFCOMM,"The operation completed successfully.",1,4,Information
35266,RFCOMM,"The operation completed successfully.",1,4,Information
35265,RFCOMM,"The operation completed successfully.",1,4,Information
35264,RFCOMM,"The operation completed successfully.",1,4,Information
35263,RFCOMM,"The operation completed successfully.",1,4,Information
35262,RFCOMM,"The operation completed successfully.",1,4,Information
35261,RFCOMM,"The operation completed successfully.",1,4,Information
35260,RFCOMM,"The operation completed successfully.",1,4,Information
35259,RFCOMM,"The operation completed successfully.",1,4,Information
35258,"Microsoft-Windows-Diagnostics-Networking","Repair Option Failure",5200,4,Information
35257,RFCOMM,"The operation completed successfully.",1,4,Information
35256,RFCOMM,"The operation completed successfully.",1,4,Information
35255,RFCOMM,"The operation completed successfully.",1,4,Information
35254,RFCOMM,"The operation completed successfully.",1,4,Information
35253,RFCOMM,"The operation completed successfully.",1,4,Information
35252,RFCOMM,"The operation completed successfully.",1,4,Information
35251,RFCOMM,"The operation completed successfully.",1,4,Information
35250,RFCOMM,"The operation completed successfully.",1,4,Information
35249,RFCOMM,"The operation completed successfully.",1,4,Information
35248,RFCOMM,"The operation completed successfully.",1,4,Information
35247,RFCOMM,"The operation completed successfully.",1,4,Information
35246,RFCOMM,"The operation completed successfully.",1,4,Information
35245,RFCOMM,"The operation completed successfully.",1,4,Information
35244,RFCOMM,"The operation completed successfully.",1,4,Information
35243,RFCOMM,"The operation completed successfully.",1,4,Information
35242,RFCOMM,"The operation completed successfully.",1,4,Information
35241,RFCOMM,"The operation completed successfully.",1,4,Information
35240,RFCOMM,"The operation completed successfully.",1,4,Information
35239,RFCOMM,"The operation completed successfully.",1,4,Information
35238,RFCOMM,"The operation completed successfully.",1,4,Information
35237,RFCOMM,"The operation completed successfully.",1,4,Information
35236,RFCOMM,"The operation completed successfully.",1,4,Information
35235,RFCOMM,"The operation completed successfully.",1,4,Information
35234,RFCOMM,"The operation completed successfully.",1,4,Information
35233,"Microsoft-Windows-Diagnostics-Networking","Diagnosis Success",4000,4,Information
35232,"Microsoft-Windows-Diagnostics-Networking","Diagnosis Success",4000,4,Information
35231,"Microsoft-Windows-Diagnostics-Networking","Helper Class Info",6100,4,Information
35230,"Microsoft-Windows-Diagnostics-Networking","Helper Class Info",6100,4,Information
35229,"Microsoft-Windows-Diagnostics-Networking","Helper Class Info",6100,4,Information
35228,"Microsoft-Windows-Diagnostics-Networking","Helper Class Info",6100,4,Information
35227,RFCOMM,"The operation completed successfully.",1,4,Information
35226,RFCOMM,"The operation completed successfully.",1,4,Information
35225,RFCOMM,"The operation completed successfully.",1,4,Information
35224,RFCOMM,"The operation completed successfully.",1,4,Information
35223,RFCOMM,"The operation completed successfully.",1,4,Information
35222,RFCOMM,"The operation completed successfully.",1,4,Information
35221,RFCOMM,"The operation completed successfully.",1,4,Information
35220,RFCOMM,"The operation completed successfully.",1,4,Information
35219,RFCOMM,"The operation completed successfully.",1,4,Information
35218,RFCOMM,"The operation completed successfully.",1,4,Information
35217,RFCOMM,"The operation completed successfully.",1,4,Information
35216,RFCOMM,"The operation completed successfully.",1,4,Information
35215,RFCOMM,"The operation completed successfully.",1,4,Information
35214,RFCOMM,"The operation completed successfully.",1,4,Information
35213,RFCOMM,"The operation completed successfully.",1,4,Information
35212,RFCOMM,"The operation completed successfully.",1,4,Information
35211,RFCOMM,"The operation completed successfully.",1,4,Information
35210,RFCOMM,"The operation completed successfully.",1,4,Information
35209,RFCOMM,"The operation completed successfully.",1,4,Information
35208,RFCOMM,"The operation completed successfully.",1,4,Information
35207,RFCOMM,"The operation completed successfully.",1,4,Information
35206,RFCOMM,"The operation completed successfully.",1,4,Information
35205,RFCOMM,"The operation completed successfully.",1,4,Information
35204,RFCOMM,"The operation completed successfully.",1,4,Information
35203,RFCOMM,"The operation completed successfully.",1,4,Information
35202,RFCOMM,"The operation completed successfully.",1,4,Information
35201,RFCOMM,"The operation completed successfully.",1,4,Information
35200,RFCOMM,"The operation completed successfully.",1,4,Information
35199,RFCOMM,"The operation completed successfully.",1,4,Information
35198,"Microsoft-Windows-Service Control Manager","The operation completed successfully.",7040,4,Information
35197,RFCOMM,"The operation completed successfully.",1,4,Information
35196,RFCOMM,"The operation completed successfully.",1,4,Information
35195,RFCOMM,"The operation completed successfully.",1,4,Information
35194,RFCOMM,"The operation completed successfully.",1,4,Information
35193,RFCOMM,"The operation completed successfully.",1,4,Information
35192,RFCOMM,"The operation completed successfully.",1,4,Information
35191,RFCOMM,"The operation completed successfully.",1,4,Information
35190,RFCOMM,"The operation completed successfully.",1,4,Information
35189,RFCOMM,"The operation completed successfully.",1,4,Information
35188,RFCOMM,"The operation completed successfully.",1,4,Information
35187,RFCOMM,"The operation completed successfully.",1,4,Information
35186,RFCOMM,"The operation completed successfully.",1,4,Information
35185,RFCOMM,"The operation completed successfully.",1,4,Information
35184,RFCOMM,"The operation completed successfully.",1,4,Information
35183,RFCOMM,"The operation completed successfully.",1,4,Information
35182,RFCOMM,"The operation completed successfully.",1,4,Information
35181,RFCOMM,"The operation completed successfully.",1,4,Information
35180,RFCOMM,"The operation completed successfully.",1,4,Information
35179,RFCOMM,"The operation completed successfully.",1,4,Information
35178,RFCOMM,"The operation completed successfully.",1,4,Information
35177,RFCOMM,"The operation completed successfully.",1,4,Information
35176,RFCOMM,"The operation completed successfully.",1,4,Information
35175,RFCOMM,"The operation completed successfully.",1,4,Information
35174,RFCOMM,"The operation completed successfully.",1,4,Information
35173,RFCOMM,"The operation completed successfully.",1,4,Information
35172,RFCOMM,"The operation completed successfully.",1,4,Information
